zip,City,State,County Name
80101,AGATE,CO,ELBERT
81020,AGUILAR,CO,LAS ANIMAS
80720,AKRON,CO,WASHINGTON
81101,ALAMOSA,CO,ALAMOSA
80510,ALLENSPARK,CO,BOULDER
80420,ALMA,CO,PARK
81210,ALMONT,CO,GUNNISON
80721,AMHERST,CO,PHILLIPS
80801,ANTON,CO,WASHINGTON
81120,ANTONITO,CO,CONEJOS
80802,ARAPAHOE,CO,CHEYENNE
81121,ARBOLES,CO,ARCHULETA
80804,ARRIBA,CO,LINCOLN
80001,ARVADA,CO,JEFFERSON
80002,ARVADA,CO,JEFFERSON
80003,ARVADA,CO,JEFFERSON
80004,ARVADA,CO,JEFFERSON
80005,ARVADA,CO,JEFFERSON
80006,ARVADA,CO,JEFFERSON
80007,ARVADA,CO,JEFFERSON
81611,ASPEN,CO,PITKIN
81612,ASPEN,CO,PITKIN
80722,ATWOOD,CO,LOGAN
80610,AULT,CO,WELD
80011,AURORA,CO,ADAMS
80019,AURORA,CO,ADAMS
80042,AURORA,CO,ADAMS
80045,AURORA,CO,ADAMS
80010,AURORA,CO,ARAPAHOE
80012,AURORA,CO,ARAPAHOE
80013,AURORA,CO,ARAPAHOE
80014,AURORA,CO,ARAPAHOE
80015,AURORA,CO,ARAPAHOE
80016,AURORA,CO,ARAPAHOE
80017,AURORA,CO,ARAPAHOE
80018,AURORA,CO,ARAPAHOE
80041,AURORA,CO,ARAPAHOE
80044,AURORA,CO,ARAPAHOE
80046,AURORA,CO,ARAPAHOE
80047,AURORA,CO,ARAPAHOE
81410,AUSTIN,CO,DELTA
81620,AVON,CO,EAGLE
81022,AVONDALE,CO,PUEBLO
80421,BAILEY,CO,PARK
81621,BASALT,CO,EAGLE
81636,BATTLEMENT MESA,CO,GARFIELD
81122,BAYFIELD,CO,LA PLATA
80512,BELLVUE,CO,LARIMER
80102,BENNETT,CO,ADAMS
80513,BERTHOUD,CO,LARIMER
80805,BETHUNE,CO,KIT CARSON
81023,BEULAH,CO,PUEBLO
80422,BLACK HAWK,CO,GILPIN
81123,BLANCA,CO,COSTILLA
81024,BONCARBO,CO,LAS ANIMAS
80423,BOND,CO,EAGLE
81025,BOONE,CO,PUEBLO
80301,BOULDER,CO,BOULDER
80302,BOULDER,CO,BOULDER
80303,BOULDER,CO,BOULDER
80304,BOULDER,CO,BOULDER
80305,BOULDER,CO,BOULDER
80306,BOULDER,CO,BOULDER
80307,BOULDER,CO,BOULDER
80308,BOULDER,CO,BOULDER
80309,BOULDER,CO,BOULDER
80310,BOULDER,CO,BOULDER
81027,BRANSON,CO,LAS ANIMAS
80424,BRECKENRIDGE,CO,SUMMIT
80611,BRIGGSDALE,CO,WELD
80601,BRIGHTON,CO,ADAMS
80602,BRIGHTON,CO,ADAMS
80603,BRIGHTON,CO,WELD
80020,BROOMFIELD,CO,BROOMFIELD
80023,BROOMFIELD,CO,BROOMFIELD
80038,BROOMFIELD,CO,BROOMFIELD
80021,BROOMFIELD,CO,JEFFERSON
80723,BRUSH,CO,MORGAN
81211,BUENA VISTA,CO,CHAFFEE
80425,BUFFALO CREEK,CO,JEFFERSON
80807,BURLINGTON,CO,KIT CARSON
80426,BURNS,CO,EAGLE
80103,BYERS,CO,ARAPAHOE
81320,CAHONE,CO,DOLORES
80808,CALHAN,CO,EL PASO
81029,CAMPO,CO,BACA
81212,CANON CITY,CO,FREMONT
81215,CANON CITY,CO,FREMONT
81124,CAPULIN,CO,CONEJOS
81623,CARBONDALE,CO,GARFIELD
80612,CARR,CO,WELD
80809,CASCADE,CO,EL PASO
80104,CASTLE ROCK,CO,DOUGLAS
80108,CASTLE ROCK,CO,DOUGLAS
80109,CASTLE ROCK,CO,DOUGLAS
81413,CEDAREDGE,CO,DELTA
81125,CENTER,CO,RIO GRANDE
80427,CENTRAL CITY,CO,GILPIN
81030,CHERAW,CO,OTERO
80810,CHEYENNE WELLS,CO,CHEYENNE
81128,CHROMO,CO,ARCHULETA
81220,CIMARRON,CO,MONTROSE
80428,CLARK,CO,ROUTT
81520,CLIFTON,CO,MESA
80429,CLIMAX,CO,LAKE
81222,COALDALE,CO,FREMONT
80430,COALMONT,CO,JACKSON
81624,COLLBRAN,CO,MESA
81019,COLORADO CITY,CO,PUEBLO
80901,COLORADO SPRINGS,CO,EL PASO
80902,COLORADO SPRINGS,CO,EL PASO
80903,COLORADO SPRINGS,CO,EL PASO
80904,COLORADO SPRINGS,CO,EL PASO
80905,COLORADO SPRINGS,CO,EL PASO
80906,COLORADO SPRINGS,CO,EL PASO
80907,COLORADO SPRINGS,CO,EL PASO
80908,COLORADO SPRINGS,CO,EL PASO
80909,COLORADO SPRINGS,CO,EL PASO
80910,COLORADO SPRINGS,CO,EL PASO
80911,COLORADO SPRINGS,CO,EL PASO
80912,COLORADO SPRINGS,CO,EL PASO
80913,COLORADO SPRINGS,CO,EL PASO
80914,COLORADO SPRINGS,CO,EL PASO
80915,COLORADO SPRINGS,CO,EL PASO
80916,COLORADO SPRINGS,CO,EL PASO
80917,COLORADO SPRINGS,CO,EL PASO
80918,COLORADO SPRINGS,CO,EL PASO
80919,COLORADO SPRINGS,CO,EL PASO
80920,COLORADO SPRINGS,CO,EL PASO
80921,COLORADO SPRINGS,CO,EL PASO
80922,COLORADO SPRINGS,CO,EL PASO
80923,COLORADO SPRINGS,CO,EL PASO
80924,COLORADO SPRINGS,CO,EL PASO
80925,COLORADO SPRINGS,CO,EL PASO
80926,COLORADO SPRINGS,CO,EL PASO
80927,COLORADO SPRINGS,CO,EL PASO
80928,COLORADO SPRINGS,CO,EL PASO
80929,COLORADO SPRINGS,CO,EL PASO
80930,COLORADO SPRINGS,CO,EL PASO
80931,COLORADO SPRINGS,CO,EL PASO
80932,COLORADO SPRINGS,CO,EL PASO
80933,COLORADO SPRINGS,CO,EL PASO
80934,COLORADO SPRINGS,CO,EL PASO
80935,COLORADO SPRINGS,CO,EL PASO
80936,COLORADO SPRINGS,CO,EL PASO
80937,COLORADO SPRINGS,CO,EL PASO
80938,COLORADO SPRINGS,CO,EL PASO
80939,COLORADO SPRINGS,CO,EL PASO
80949,COLORADO SPRINGS,CO,EL PASO
80951,COLORADO SPRINGS,CO,EL PASO
